"","x"
"1","intra-operative 5-FU chemotherapy"
"2","Blood sampling"
"3","5-FU and oxaliplatin"
"4","Mek Inhibitor MSC1936369B"
"5","Placebo"
"6","FOLFIRI"
"7","Thymalfasin"
"8","Capecitabine and Oxaliplatin"
"9","Panitumumab"
"10","Cabozantinib"
"11","Aspirin"
"12","Cetuximab"
"13","Tremelimumab"
"14","Fluorouracil"
"15","Leucovorin"
"16","Oxaliplatin"
"17","Bevacizumab"
"18","MEDI4736"
"19","Avastin"
"20","Group CRC"
"21","Group control"
"22","Indocyanine Green"
"23","Capecitabine"
"24","LBH589"
"25","AMP-224"
"26","Cyclophosphamide"
"27","Dacogen™"
"28","Vectibix®"
"29","Sulindac"
"30","AZD2171"
"31","5-fluorouracil"
"32","huA33 antibody plus chemotherapy"
"33","FLOX"
"34","FLOX and Cetuximab"
"35","FLOX intermittently and maintenance cetuximab"
"36","IMMU 130"
"37","DC-based vaccine"
"38","TIVA+lidocaine"
"39","Sevoflurane+lidocaine"
"40","TIVA+placebo"
"41","Sevoflurane+placebo"
"42","Nimotuzumab Humanized Monoclonal Antibody"
"43","Nimotuzumab"
"44","OSI-906"
"45","Everolimus"
"46","XELOX Chemotherapy"
"47","mFolfox6 chemotherapy"
"48","ZD6474 100mg"
"49","ZD6474 300mg"
"50","FOLFOX6/cetuximab"
"51","oxaliplatin, capecitabine, bevacizumab"
"52","Placebo for Aspirin"
"53","Celecoxib"
"54","Irinotecan"
"55","FOLFOX/ FOLFIRI with bevacizumab"
"56","FOLFOXIRI with bevacizumab"
"57","FOLFOX/ FOLFIRI with panitumumab"
"58","Erlotinib and capecitabine"
"59","gemcitabine, capecitabine"
"60","5-FU"
"61","LV"
"62","ziv-aflibercept"
"63","mFOLFOX6"
"64","Tarceva"
"65","Maraviroc"
"66","DC-CIK"
"67","Chemotherapy"
"68","Xilonix"
"69","FOLFIRI + Cetuximab"
"70","Sym004"
"71","KRN330"
"72","Ganitumab"
"73","Rilotumumab"
"74","lapatinib"
"75","oxaliplatin"
"76","capecitabine"
"77","EPO906, celecoxib"
"78","Iodine-124 labeled humanized A33"
"79","oxaliplatin+capecitabine"
"80","Oxaliplatin+capecitabine+bevacizumab"
"81","PF-03446962"
"82","Regorafenib"
"83","fluoropyrimidine"
"84","bevacizumab"
"85","Famitinib"
"86","Ferumoxytol"
"87","IMMU-130"
"88","S-1, leucovorin, oxaliplatin"
"89","CP-4055"
"90","Capecitabine and aflibercept"
"91","Panitumumab, Oxaliplatin, 5-FU"
"92","MORAb-004"
"93","Orectalip"
"94","NKTR-102"
"95","irinotecan"
"96","AMG 655"
"97","Modified FOLFOX6"
"98","S-1 & Oxaliplatin"
"99","Capecitabine & Oxaliplatin"
"100","Arm A"
"101","Arm B"
"102","MK-2206 + AZD6244"
"103","hMN14"
"104","Aflibercept"
"105","RAD011"
"106","FOLFOX"
"107","cetuximab with irinotecan"
"108","PF-05212384"
"109","cetuximab"
"110","leucovorin"
"111","Pemetrexed"
"112","Gemcitabine"
"113"," Picoplatin with 5-FU and Leucovorin"
"114","FOLPI"
"115","FOLFOXIRI"
"116","Genistein"
"117","CM4307"
"118","BAY 43-9006"
"119","Temozolomide and ABT-888"
"120","oxaliplatin;irinotecan;leucovorin;5-fluorouracil;capecitabine;S-1"
"121","IMO-2055"
"122","RAD001"
"123","Imprime PGG + cetuximab"
"124","FSP peptides"
"125","S-1, oral Leucovorin, Oxaliplatin"
"126","Ropivacaine + opioid epidurally"
"127","Morphine"
"128","irinotecan hydrochloride"
"129","Neoadjuvant chemotherapy with FOLFOXIRI + bevacizumab"
"130","Dasatinib"
"131","FOLFOXIRI + Cetuximab"
"132","Azacitidine"
"133","Azacitidine MTD"
"134","Endostatins"
"135","Decitabine"
"136","Panitumumab and bortezomib"
"137","Ginger Root Extract"
"138","erlotinib"
"139","21Capecitabine + bevacizumab + oxaliplatin"
"140","1Capecitabine + oxaliplatin + bevacizumab + cetuximab"
"141","dendritic and cytokine-induced killer cells"
"142","Herbal therapy"
"143","CEA-loaded dendritic cell vaccine"
"144","BKM120"
"145","Capecitabine, Irinotecan, 5-Fluorouracil+Calciumfolinat"
"146","olaparib"
"147","Zalutumumab"
"148","OCV-103 and OCV-104"
"149","fluorouracil"
"150","Methotrexate"
"151","MAC-321"
"152","Bevacizumab plus alternating Xelox/Xeliri"
"153","MM-151"
"154","nal-IRI"
"155","L-leucovorin"
"156","MB-6"
"157","12 cycles of oxaliplatine based adjuvant chemotherapy"
"158","8 cycles of oxaliplatine based adjuvant chemotherapy"
"159","FOLFIR + Aflibercept"
"160","tac + folfox4"
"161","folfox4"
"162","Avastin/FOLFIRI"
"163","CBLB502"
"164","Brivanib"
"165","Ruxolitinib"
"166","Raltitrexed"
"167","lipiodol"
"168","AMG 386"
"169","AMG 386 Placebo"
"170","5-Fluorouracil"
"171","wXELIRI regimen"
"172","FOLFIRI regimen"
"173","Gemcitabine + Capecitabine"
"174","APDC + Chemotherapy"
"175","Cediranib"
"176","Cytokine-induced killer cells"
"177","lenalidomide"
"178","CT-2106"
"179","Folinic acid"
"180","BVZ+XELOX or BVZ+XELIRI or BVZ+FUIRI or BVZ+FUOX"
"181","BVZ+XELOX"
"182","Capecitabine+Irinotecan+Bevacizumab"
"183","Recombinant anti-tumor and anti-virus protein for injection"
"184","S-1, Leucovorin"
"185","leucovorin, 5-fluorouracil"
"186","AZD6244"
"187","UFT"
"188","USEL/Leucovorin"
"189","Krestin"
"190","OCZ103-OS [pentamidine bis], mFOLFOX6 or FOLFIRI"
"191","UFT, Calcium Folinate, PSK"
"192","UFT, Calcium Folinate"
"193","panitumumab"
"194","Metformin and Fluorouracil"
"195","ABX-EGF"
"196","Aroplatin"
"197","Selective decontamination of the digestive tract"
"198","FOLFIRI-cetuximab"
"199","mFOLFOX6-bevacizumab"
"200","OPTIMOX-bevacizumab"
"201","irinotecan-based chemo + bevacizumab"
"202","Anti-EGFR agent"
"203","XELOX + bevacizumab"
"204","Campto, Topotesin"
"205","TS-1"
"206","L-Plat"
"207","Isovorin"
"208","Leukovorin"
"209","5-FLUOROURACIL"
"210","Erbitux"
"211","TAS-102"
"212","TKCell"
"213","amifostine trihydrate"
"214","Panitumumab+FOLFOX-4"
"215","Panitumumab+FOLFIRI"
"216","Cetuximab plus Irinotecan Synchronously"
"217","Irinotecan and Cetuximab Subsequently"
"218","Neratinib"
"219","capecitabine, oxaliplatin, irinotecan and bevacizumab"
"220","Bevacizumab and FOLFIRI"
"221","Niclosamide"
"222","FOLFOX-6"
"223","CPT-11"
"224","fruquintinib"
"225","placebo"
"226","Tivantinib + cetuximab + irinotecan"
"227","Placebo + cetuximab + irinotecan"
"228","Nimotuzumab and chemotherapy"
"229","ixabepilone"
"230","Fluoropyrimidine"
"231","intervention"
"232","BBI608"
"233","FOLFIRI + Bevacizumab"
"234",""
"235","sorafenib + FOLFIRI"
"236","IV cetuximab"
"237","HAI chronomodulated chemotherapy"
"238","HAI conventional chemotherapy"
