"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1,"NCT01470586","Surgical Resection Lowers Oxidative Stress Markers in Patients With Colorectal Cancer","Completed","No Results Available","Colorectal Cancer|Colon Rectal Resection|Oxidative Stress","Procedure: Surgery for colorectal cancer","G. Hatzikosta General Hospital|University of Ioannina","Both","25 Years to 80 Years   (Adult, Senior)","","60","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)","GH-1948-08","November 5, 2011","May 2009","June 2011","November 10, 2011","November 2011","No Study Results Posted","null","October 2010","Comparison of Oxidative stress markers in patients with colorectal cancer and controls|Validation of oxidative stress markers in patients with colorectal cancer undergo surgical resection","https://ClinicalTrials.gov/show/NCT01470586"
2,"NCT02217865","Patient-Centered Risk Adjusted Surveillance After Curative Resection of Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer","Behavioral: Interviews - Colorectal Cancer Participants|Behavioral: Questionnaire|Behavioral: Focus Groups|Behavioral: Interviews - Caregivers of Colorectal Cancer Participants","M.D. Anderson Cancer Center|Patient-Centered Outcomes Research Institute|Alliance for Clinical Trials in Oncology","Both","21 Years and older   (Adult, Senior)","","180","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PA13-1002|CE13-04-6855","August 13, 2014","July 2014","null","August 18, 2016","August 2016","No Study Results Posted","null","July 2017","Effectiveness of Colorectal Cancer (CRC) Surveillance","https://ClinicalTrials.gov/show/NCT02217865"
3,"NCT01244022","Cytokine Changes After Colorectal Cancer Resection","Completed","No Results Available","Colorectal Cancer","Procedure: colorectal cancer resection","University Hospital Dubrava","Both","20 Years to 90 Years   (Adult, Senior)","","28","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","DS-P03112010","November 12, 2010","August 2010","December 2012","July 15, 2013","July 2013","No Study Results Posted","null","December 2012","Postoperative changes of serum cytokine levels|Early postoperative complications","https://ClinicalTrials.gov/show/NCT01244022"
4,"NCT01465451","Intra-operative Chemotherapy With 5-FU for Colorectal Cancer Patients Receiving Curative Resection: Efficacy and Safety","Active, not recruiting","No Results Available","Colorectal Cancer","Procedure: curative resection for colorectal cancer|Drug: intra-operative 5-FU chemotherapy","Sun Yat-sen University","Both","18 Years to 75 Years   (Adult, Senior)","Phase 3","695","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Treatment","SYSU 5010-2010016 IOCCRC","November 1, 2011","March 2011","December 2019","August 10, 2016","August 2016","No Study Results Posted","IOCCRC","December 2019","disease-free survival|safety profiles","https://ClinicalTrials.gov/show/NCT01465451"
5,"NCT01072851","Tools for Improving Colorectal Cancer Screening Rates: Multimedia Versus Print","Completed","No Results Available","Colorectal Cancer","Behavioral: Multimedia Education|Behavioral: Print Media|Behavioral: Usual and customary waiting room process","Saint Francis Care|American Cancer Society, Inc.|Feinberg School of Medicine, Northwestern University","Both","50 Years to 80 Years   (Adult, Senior)","Phase 3","920","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver)|Primary Purpose: Prevention","0910001-E","February 18, 2010","July 2008","September 2012","September 6, 2012","September 2012","No Study Results Posted","null","July 2012","Comparison of the acceptance of colorectal cancer screening by patients who view print or multimedia educational tools|Role of race/ethnicity and literacy levels on the comparative effects if the intervention|Comparative knowledge of colorectal cancer screening by patients who view the print or multi-media educational tools.","https://ClinicalTrials.gov/show/NCT01072851"
6,"NCT02323464","Prevalence of Sleep Apnea in Patients Undergoing Surgery for Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer|Sleep Apnea Syndromes|Hypoxemia","Procedure: Surgery for colorectal cancer","Karl A Franklin|Umeå University","Both","18 Years and older   (Adult, Senior)","","300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Dnr 2012-375-31M","December 11, 2014","January 2013","December 2017","April 27, 2016","April 2016","No Study Results Posted","null","December 2017","Side effects after surgery for colorectal cancer|Mortality|Severity of cancer|Sleep apnea before and after surgery|Sleep quality|hypoxemia, hypercapnia|lung function|subjective sleepiness","https://ClinicalTrials.gov/show/NCT02323464"
7,"NCT01103479","Low-Literacy Physician-Patient Intervention Promoting Colorectal Cancer Screening","Completed","Has Results","Colorectal Cancer","Behavioral: Physician Intervention|Behavioral: Physician and Patient Intervention","Northwestern University|National Cancer Institute (NCI)","Both","50 Years to 75 Years   (Adult, Senior)","Phase 2|Phase 3","569","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Health Services Research","R01CA140177-01|R01CA140177","April 12, 2010","April 2010","September 2013","April 14, 2015","April 2015","August 28, 2014","null","July 2013","Colorectal Cancer (CRC) Screening Completion|Provider Recommendation of CRC Screening","https://ClinicalTrials.gov/show/NCT01103479"
8,"NCT00161460","Colorectal Cancer Screening Intervention in UWPN Clinics","Completed","No Results Available","Colorectal Neoplasia","Behavioral: colorectal cancer screening intervention","University of Washington|National Cancer Institute (NCI)","Both","50 Years and older   (Adult, Senior)","","80","Other|NIH","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","26840-J|1R21CA107157","September 8, 2005","June 2005","June 2008","May 11, 2016","May 2016","No Study Results Posted","null","June 2008","Colorectal cancer screening test utilization|Knowledge about colorectal cancer screening tests|Cancer worry score","https://ClinicalTrials.gov/show/NCT00161460"
9,"NCT02556281","Prognostic Value of Circulating Tumoral Free DNA Versus Circulating Tumoral Cells in Patients With Colorectal Cancer Stage II-III","Recruiting","No Results Available","Colorectal Neoplasms","Biological: Blood sampling","University Hospital, Rouen","Both","18 Years and older   (Adult, Senior)","","293","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","2009/066/HP","September 18, 2015","October 2012","September 2019","May 10, 2016","May 2016","No Study Results Posted","CTC","July 2019","Presence of free tumoral DNA in blood of patient with colorectal cancer|Number of patient with a first relapse|Presence of tumoral cells in blood of patient with colorectal cancer|Number of tumoral cells in blood of patient with colorectal cancer|Number of free tumoral DNA in blood of patient with colorectal cancer","https://ClinicalTrials.gov/show/NCT02556281"
10,"NCT01519999","Colorectal Cancer Screening With Improved Shared Decision Making","Active, not recruiting","No Results Available","Colorectal Cancer Screening|Shared Decision Making","Behavioral: Shared Decision Making for Colorectal Cancer Screening","Virginia Commonwealth University|Allina Health System|Blue Cross Blue Shield","Both","50 Years to 75 Years   (Adult, Senior)","","5842","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Prevention","WISDM-106965","January 13, 2012","May 2012","December 2017","July 8, 2016","July 2016","No Study Results Posted","CRCS-WISDM","June 2017","Change in colorectal cancer screening adherence|Decisional conflict|Modality-specific colorectal cancer screening barriers|Colorectal cancer screening-related confusion|Patients' shared decision-making experience|Providers'/staff shared decision-making experience","https://ClinicalTrials.gov/show/NCT01519999"
