"drug.name","targets","pathways"
"Lepirudin  |  Hirudin variant-1 | Lepirudin recombinant","F2",""
"Cetuximab  |  Cetuximab | Cétuximab | Cetuximab | Cetuximabum | Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer","FCGR1A | EGFR | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C","EGFR signaling | EGFR signaling | chromain  histone acetylation | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling"
"Denileukin diftitox  |  Diphtheria toxin precursor | DT | NAD(+--diphthamide ADP- ribosyltransferase)","IL2RB | IL2RA | IL2RG",""
"Etanercept  |  CD120b | p75 | p80 TNF-alpha receptor | TNF-R2 | Tumor necrosis factor receptor 2 | Tumor necrosis factor receptor superfamily member 1B precursor | Tumor necrosis factor receptor type II","TNF | FCGR1A | FCGR3B | TNFRSF1B | LTA | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Bivalirudin  |  NA","F2",""
"Leuprolide  |  (D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone | L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide | Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum | PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5 | PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet","GNRHR",""
"Peginterferon alfa-2a  |  NA","IFNAR2 | IFNAR1",""
"Alteplase  |  t-PA | t-plasminogen activator | Tissue-type plasminogen activator precursor | tPA","PLG | SERPINE1 | FGA | PLAUR",""
"Sermorelin  |  NA","GHRHR",""
"Interferon alfa-n1  |  Interferon alpha-2 | Interferon alpha-A | Interferon alpha-n1 (Ins) | LeIF A","IFNAR2 | IFNAR1",""
