"NCT.Number","drugs"
"NCT01470586",""
"NCT02217865",""
"NCT01244022",""
"NCT01465451","intra-operative 5-FU chemotherapy"
"NCT01072851",""
"NCT02323464",""
"NCT01103479",""
"NCT00161460",""
"NCT02556281","Blood sampling"
"NCT01519999",""
"NCT00265720",""
"NCT00558233",""
"NCT00927680",""
"NCT00906997",""
"NCT01972503","5-FU and oxaliplatin"
"NCT02368236",""
"NCT02503969",""
"NCT00786747",""
"NCT00965965",""
"NCT01085331","Mek Inhibitor MSC1936369B | Mek Inhibitor MSC1936369B | Placebo | FOLFIRI"
"NCT02727894",""
"NCT02535988","Thymalfasin"
"NCT01196260","Capecitabine and Oxaliplatin"
"NCT02238821",""
"NCT01286064",""
"NCT02008383","Panitumumab | Cabozantinib"
"NCT01385579",""
"NCT00836303",""
"NCT01526239",""
"NCT01850654",""
"NCT00777192",""
"NCT00578721","Aspirin"
"NCT02503631",""
"NCT01234246",""
"NCT02820389",""
"NCT00507598",""
"NCT02442583",""
"NCT01723969",""
"NCT00838318",""
"NCT00264979",""
"NCT01909362",""
"NCT00961129",""
"NCT00855348",""
"NCT00251485","Cetuximab"
"NCT02754856","Tremelimumab | Fluorouracil | Leucovorin | Oxaliplatin | Bevacizumab | MEDI4736"
"NCT01804179",""
"NCT02515344",""
"NCT02901600",""
"NCT02151032",""
"NCT00632515",""
"NCT01364454",""
"NCT01722903",""
"NCT00114946","Avastin"
"NCT00898378",""
"NCT00929097",""
"NCT02488161",""
"NCT01026753",""
"NCT02304978","Group CRC | Group control"
"NCT02032485","Indocyanine Green"
"NCT01260168",""
"NCT02027363","Capecitabine"
"NCT00690677","LBH589"
"NCT02298946","AMP-224 | Cyclophosphamide"
"NCT00441311",""
"NCT01604798",""
"NCT01397747",""
"NCT00820456",""
"NCT00137592",""
"NCT00879385","Dacogen™ | Vectibix®"
"NCT01191411",""
"NCT00955344",""
"NCT01877018",""
"NCT00742729",""
"NCT01856322","Sulindac | Placebo"
"NCT00136227",""
"NCT00199654",""
"NCT00278889","AZD2171 | 5-fluorouracil | Leucovorin | Oxaliplatin | Bevacizumab"
"NCT01211379",""
"NCT01464151",""
"NCT00199797","huA33 antibody plus chemotherapy"
"NCT00145314","FLOX | FLOX and Cetuximab | FLOX intermittently and maintenance cetuximab"
"NCT01056809",""
"NCT01915472","IMMU 130"
"NCT02078804",""
"NCT00558051","DC-based vaccine | DC-based vaccine | DC-based vaccine"
"NCT02872779",""
"NCT00823810",""
"NCT02364154",""
"NCT02596113",""
"NCT01492049",""
"NCT01885351",""
"NCT00807313",""
"NCT00737646",""
"NCT02786329","TIVA+lidocaine | Sevoflurane+lidocaine | TIVA+placebo | Sevoflurane+placebo"
"NCT00324753",""
"NCT02571374",""
"NCT00493857","Nimotuzumab Humanized Monoclonal Antibody | Nimotuzumab"
"NCT01154335","OSI-906 | Everolimus"
"NCT01700283",""
"NCT01433146",""
"NCT02877056",""
"NCT01080547","XELOX Chemotherapy | mFolfox6 chemotherapy"
"NCT00496509","ZD6474 100mg | ZD6474 300mg"
"NCT00743678","FOLFOX6/cetuximab"
"NCT02859155",""
"NCT00120172","oxaliplatin, capecitabine, bevacizumab"
"NCT02394769","Aspirin | Placebo for Aspirin"
"NCT01969591",""
"NCT00230399","Celecoxib | Capecitabine | Irinotecan"
"NCT00503737",""
"NCT02162563","FOLFOX/ FOLFIRI with bevacizumab | FOLFOXIRI with bevacizumab | FOLFOX/ FOLFIRI with panitumumab"
"NCT01595256",""
"NCT01239082",""
"NCT01075633",""
"NCT02191969",""
"NCT01793207",""
"NCT00459901","Erlotinib and capecitabine"
"NCT00159445","gemcitabine, capecitabine"
"NCT01889680","5-FU | LV | ziv-aflibercept | mFOLFOX6"
"NCT01139138","Panitumumab | Irinotecan | Everolimus"
"NCT00123851","Tarceva | Capecitabine | Oxaliplatin"
"NCT01736813","Maraviroc"
"NCT00294827",""
"NCT01427647",""
"NCT02117557",""
"NCT02202928","DC-CIK | Chemotherapy"
"NCT02186236",""
"NCT00675636",""
"NCT01151007",""
"NCT02138422","Xilonix | Placebo"
"NCT01531621",""
"NCT01943786","FOLFIRI + Cetuximab"
"NCT02083653","Sym004 | Sym004 | Fluorouracil | Capecitabine"
"NCT00575562","KRN330"
"NCT01732783",""
"NCT00788957","Panitumumab | Ganitumab | Rilotumumab | Placebo"
"NCT02869503",""
"NCT00012922",""
"NCT01387880","Everolimus | Everolimus"
"NCT00536809","lapatinib | oxaliplatin | capecitabine"
"NCT00159484","EPO906, celecoxib"
"NCT00199862","Iodine-124 labeled humanized A33"
"NCT00394992","oxaliplatin+capecitabine | Oxaliplatin+capecitabine+bevacizumab"
"NCT02116894","PF-03446962 | Regorafenib"
"NCT00594113",""
"NCT02549456",""
"NCT00399750","oxaliplatin | fluoropyrimidine | bevacizumab"
"NCT01762293","Famitinib"
"NCT01303393",""
"NCT01983371","Ferumoxytol"
"NCT01596582",""
"NCT01605318","IMMU-130"
"NCT02425683","Regorafenib"
"NCT02002299",""
"NCT01274143",""
"NCT02863107",""
"NCT00977613",""
"NCT00489697",""
"NCT01110941","S-1, leucovorin, oxaliplatin"
"NCT00498407","CP-4055"
"NCT00122187",""
"NCT01661972","Capecitabine and aflibercept"
"NCT01141114",""
"NCT01260415","Panitumumab, Oxaliplatin, 5-FU"
"NCT01507545","MORAb-004 | Placebo"
"NCT02284529","Orectalip"
"NCT02502630",""
"NCT00910819",""
"NCT00856375","NKTR-102 | irinotecan"
"NCT00625651","Placebo | AMG 655 | Modified FOLFOX6 | Bevacizumab"
"NCT00677443","S-1 & Oxaliplatin | Capecitabine & Oxaliplatin"
"NCT02079220","Arm A | Arm B"
"NCT01333475","MK-2206 + AZD6244"
"NCT00624260",""
"NCT01299493",""
"NCT00040599","hMN14"
"NCT00561470","Placebo | Aflibercept | FOLFIRI | FOLFIRI"
"NCT01047293","RAD011 | FOLFOX | Bevacizumab"
"NCT01453894",""
"NCT02466009","Regorafenib"
"NCT01628328",""
"NCT01506687",""
"NCT01762813",""
"NCT02192034",""
"NCT02645084",""
"NCT01004159","cetuximab with irinotecan"
"NCT01688232",""
"NCT00853203",""
"NCT01925274","PF-05212384 | irinotecan | Cetuximab | Irinotecan"
"NCT00137683",""
"NCT01214681",""
"NCT00133913",""
"NCT00355004",""
"NCT00862680",""
"NCT00803647","cetuximab | 5-FU | oxaliplatin | leucovorin"
"NCT02706301",""
"NCT00327093","cetuximab | bevacizumab"
"NCT00055419","Cetuximab"
"NCT01669720","Aflibercept"
"NCT00352638",""
"NCT00984048",""
"NCT02289053",""
"NCT01075893",""
"NCT01126112","Panitumumab"
"NCT01109615","Pemetrexed | Gemcitabine"
"NCT00478946"," Picoplatin with 5-FU and Leucovorin | FOLPI | FOLFOX"
"NCT00982059",""
"NCT00444678","Cetuximab | Oxaliplatin | Capecitabine"
"NCT02597075",""
"NCT02128425","FOLFOXIRI | FOLFOX"
"NCT00838578","KRN330 | Irinotecan"
"NCT01985763","Genistein"
"NCT02489916","CM4307"
"NCT00326495","Cetuximab | BAY 43-9006"
"NCT00007618",""
"NCT01051596","Temozolomide and ABT-888"
"NCT02688023","oxaliplatin;irinotecan;leucovorin;5-fluorouracil;capecitabine;S-1"
"NCT01742169",""
"NCT01570452",""
"NCT02328677",""
"NCT00719199","IMO-2055 | Cetuximab | FOLFIRI"
"NCT00145860",""
"NCT02804802",""
"NCT00522665","Irinotecan | Cetuximab | RAD001"
"NCT01309126","Imprime PGG + cetuximab | Cetuximab"
"NCT01669109",""
"NCT00172159",""
"NCT01032590",""
"NCT00164879",""
"NCT01461148","FSP peptides"
"NCT01486745",""
"NCT00524706","S-1, oral Leucovorin, Oxaliplatin"
"NCT01032746",""
"NCT01318161","Ropivacaine + opioid epidurally | Morphine"
"NCT00296062","bevacizumab | capecitabine | irinotecan hydrochloride | oxaliplatin"
"NCT00816777","Irinotecan"
"NCT00126256","5-fluorouracil | leucovorin | irinotecan | oxaliplatin"
"NCT02591667","Neoadjuvant chemotherapy with FOLFOXIRI + bevacizumab"
"NCT01428752",""
"NCT00966667",""
"NCT00501410","5-FU | Cetuximab | Dasatinib | Leucovorin | Oxaliplatin"
"NCT02063529","FOLFOXIRI + Cetuximab | FOLFOXIRI"
"NCT01270698","IMMU-130"
"NCT01574677",""
"NCT01193517","Azacitidine | Capecitabine | Oxaliplatin | Azacitidine MTD"
"NCT00579891",""
"NCT01529164","Endostatins | Oxaliplatin | Leucovorin | 5-fluorouracil"
"NCT01196130",""
"NCT02328365",""
"NCT02316028","Decitabine"
"NCT00251862",""
"NCT02726243",""
"NCT01504477","Panitumumab and bortezomib"
"NCT00792285",""
"NCT01344538","Ginger Root Extract"
"NCT02558881",""
"NCT00116506","erlotinib | FOLFOX | bevacizumab"
"NCT01549067",""
"NCT02149784",""
"NCT02056691",""
"NCT02651974",""
"NCT00208546","21Capecitabine + bevacizumab + oxaliplatin | 1Capecitabine + oxaliplatin + bevacizumab + cetuximab"
"NCT00689364",""
"NCT01569620",""
"NCT02119026","Capecitabine | Capecitabine | Bevacizumab | Oxaliplatin | Irinotecan"
"NCT00172757",""
"NCT02812550",""
"NCT01839539","dendritic and cytokine-induced killer cells"
"NCT01754272",""
"NCT02567045",""
"NCT00696345",""
"NCT01975454","Chemotherapy | Herbal therapy"
"NCT02863172",""
"NCT01946282",""
"NCT00147134",""
"NCT02106806",""
"NCT00228189","CEA-loaded dendritic cell vaccine"
"NCT01304602","Irinotecan | BKM120"
"NCT02842203",""
"NCT01589900",""
"NCT01911988",""
"NCT00396487","Capecitabine, Irinotecan, 5-Fluorouracil+Calciumfolinat"
"NCT00713128",""
"NCT00912743","olaparib"
"NCT00677924","Zalutumumab"
"NCT01801930","OCV-103 and OCV-104 | OCV-103 and OCV-104 | OCV-103 and OCV-104 | OCV-103 and OCV-104"
"NCT02071069","Cetuximab | irinotecan | fluorouracil"
"NCT02700555",""
"NCT00952016","Methotrexate"
"NCT00063427","MAC-321"
"NCT01531595","Bevacizumab plus alternating Xelox/Xeliri"
"NCT00868569",""
"NCT02785068","MM-151 | nal-IRI | Leucovorin | 5-FU"
"NCT02138370",""
"NCT00005586","L-leucovorin | fluorouracil"
"NCT00483834","Bevacizumab | Irinotecan | Capecitabine"
"NCT00537823","Cetuximab | Bevacizumab | Leucovorin | Oxaliplatin | Fluorouracil"
"NCT02837159",""
"NCT01047475","MB-6 | Placebo"
"NCT01251666",""
"NCT02226289","Bevacizumab"
"NCT01289288",""
"NCT02135757",""
"NCT00868816","12 cycles of oxaliplatine based adjuvant chemotherapy | 8 cycles of oxaliplatine based adjuvant chemotherapy"
"NCT02181556","FOLFIR + Aflibercept"
"NCT00874406","tac + folfox4 | folfox4"
"NCT02439385","Avastin/FOLFIRI"
"NCT02264496",""
"NCT02715882","CBLB502 | Placebo"
"NCT02907086",""
"NCT02665312",""
"NCT01575340",""
"NCT01566942","Oxaliplatin | Irinotecan"
"NCT01367275","Brivanib | Irinotecan"
"NCT01279278",""
"NCT02119676","Ruxolitinib | Regorafenib | Placebo"
"NCT01959061","Raltitrexed | Oxaliplatin | lipiodol"
"NCT00752570","AMG 386 | AMG 386 Placebo | FOLFIRI"
"NCT00354978","5-Fluorouracil | Bevacizumab | Leucovorin | Irinotecan"
"NCT00991003",""
"NCT01279330",""
"NCT01736904","wXELIRI regimen | FOLFIRI regimen"
"NCT01472770","Gemcitabine + Capecitabine"
"NCT02503150","APDC + Chemotherapy | Chemotherapy"
"NCT00384176","Cediranib | Bevacizumab | 5-fluorouracil | Leucovorin | Oxaliplatin"
"NCT02419677","Cytokine-induced killer cells"
"NCT01032291","cetuximab | lenalidomide"
"NCT01591590",""
"NCT01212510",""
"NCT00291785","CT-2106 | Folinic acid | 5-FU"
"NCT01071655","BVZ+XELOX or BVZ+XELIRI or BVZ+FUIRI or BVZ+FUOX | BVZ+XELOX"
"NCT00875771","Capecitabine+Irinotecan+Bevacizumab"
"NCT00444041","Bevacizumab"
"NCT00692211",""
"NCT01386242","Recombinant anti-tumor and anti-virus protein for injection | Recombinant anti-tumor and anti-virus protein for injection | Recombinant anti-tumor and anti-virus protein for injection"
"NCT01024504","Oxaliplatin | Capecitabine | Bevacizumab"
"NCT01193452","S-1, Leucovorin | leucovorin, 5-fluorouracil"
"NCT00514761","AZD6244 | Capecitabine"
"NCT00209742","UFT | USEL/Leucovorin | Krestin"
"NCT01378143","OCZ103-OS [pentamidine bis], mFOLFOX6 or FOLFIRI"
"NCT00497107","UFT, Calcium Folinate, PSK | UFT, Calcium Folinate"
"NCT00842257","panitumumab"
"NCT00757965",""
"NCT00041691","hMN14"
"NCT01651624",""
"NCT01941953","Metformin and Fluorouracil"
"NCT00044343","lapatinib"
"NCT02738606","Chemotherapy"
"NCT00089635","ABX-EGF"
"NCT00043199","Aroplatin"
"NCT01740947","Selective decontamination of the digestive tract"
"NCT01916239",""
"NCT01910610","FOLFIRI-cetuximab | mFOLFOX6-bevacizumab | OPTIMOX-bevacizumab | irinotecan-based chemo + bevacizumab | Anti-EGFR agent | XELOX + bevacizumab"
"NCT00316745","Campto, Topotesin | TS-1 | L-Plat | Isovorin | 5-FU"
"NCT00689624","Irinotecan | Leukovorin | Oxaliplatin | 5-FLUOROURACIL | Cetuximab"
"NCT01163305","Chemotherapy"
